D:\topograf\tarim-IVAN2.dwg,Model,24/02/2005 10:06:18 a.,Comunidad,HP DesignJet 450C (E/A0) by HP,ISO A0 - 841 x 1189 mm.,1:1,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,18/05/2009 01:21:35 p.m.,x,GEO.pc3,Carta,1:7.80711,
E:\imss\Clasificacion de clinicas\LA BOCANDA-TEPALCATEPEC\la tasajeraTUC8-tepalcatepec-geo.dwg,Model,18/05/2009 03:50:01 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\LA CALERA JOSE SIXTO VERDUZCO\la calera-geo.dwg,Model,18/05/2009 04:46:01 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\LA CARRERITA-CARACUARO\LA CARRERITA-CARACUARO-IMSS-GEO.dwg,Model,18/05/2009 05:32:55 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\LA ESCALERA-CHARO\Aguacate Grande - CHARO-geo.dwg,Model,18/05/2009 06:26:37 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\LA FLORIDA-JUNGAPEO\la florida y su anexo el carrizal - JUNGAPEO-geo.dwg,Model,19/05/2009 09:21:28 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\LA EXCUSA-PURUANDIRO\la excusa-Puruandiro-GEO.dwg,Model,19/05/2009 10:01:22 a.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\LA MAGDALENA-VENUSTIANO(EJIDO LA ARENA) CARRANZA\magdalena-imss-geo.dwg,Model,19/05/2009 03:50:25 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\LA MOHONERA-NAHUATZEN\La mojonera-Nahuatzen-geo.dwg,Model,19/05/2009 04:29:36 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\LAGUNA VERDE-OCAMPO\06100201-laguna verde-ocampo-geo.dwg,Model,19/05/2009 06:14:17 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\LAS YEGUAS-PARACUARO\Cancita - Paracuaro-geo.dwg,Model,20/05/2009 11:00:07 a.m.,x,GEO.pc3,Carta,1:1088.5,
E:\imss\Clasificacion de clinicas\LOMA BLANCA-TEPALCATEPEC\La Guadalupe-Tepalcatepec-geo.dwg,Model,20/05/2009 11:48:15 a.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\LOS ESPINOZA-ARTEAGA\espinoza.dwg,Model,20/05/2009 01:07:45 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\GALLINEROS-COTIJA\gallineros.dwg,Model,20/05/2009 02:43:47 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\GALLINEROS-COTIJA\gallineros.dwg,Model,20/05/2009 02:55:38 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\LOS HABILLOS-TEPALCATEPEC\LOS AVILLOS Y ANEXOS-TEPALCATEPEC-geo.dwg,Model,20/05/2009 04:31:19 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\HORCONES-TEPALCATEPEC\TIERRAS BLANCAS-TEPALCATEPEC-IMSS-GEO.dwg,Model,20/05/2009 05:06:35 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\HORCONES-TEPALCATEPEC\TIERRAS BLANCAS-TEPALCATEPEC-IMSS-GEO.dwg,Model,20/05/2009 05:07:35 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\HORCONES-TEPALCATEPEC\TIERRAS BLANCAS-TEPALCATEPEC-IMSS-GEO.dwg,Model,20/05/2009 05:18:29 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\MANUEL VILLALONGIN-PURUANDIRO\manuel villalongin corregido-geo.dwg,Model,20/05/2009 06:08:00 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\MATUGEO-COENEO\Matujeo - Coeneo-GEO.dwg,Model,20/05/2009 06:33:30 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\MIRANDILLAS-YURECUARO\mirandillas-Yurecuaro.dwg,Model,21/05/2009 10:18:30 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\NUEVO CENTRO BELLAS FUENTES-LA HUACANA\nuevo centro imss.dwg,Model,21/05/2009 12:10:30 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\NUEVO CENTRO BELLAS FUENTES-LA HUACANA\nuevo centro imss.dwg,Model,21/05/2009 12:12:37 p.m.,x,GEO.pc3,Carta,1:816.378,
F:\crucero zinapecuaro jorge carranza.dwg,Model,21/05/2009 01:11:37 p.m.,x,HP Designjet 500 42 by HP (temporary).pc3,ANSI B (portrait),1:37.3002,
E:\imss\Clasificacion de clinicas\NUEVO CORONDIRO-MUJICA\EL CAPIRE DE NUEVA ITALIA nuevo corondiro-PARACUARO-geo.dwg,Model,21/05/2009 01:22:46 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\NUEVO CORONDIRO-MUJICA\EL CAPIRE DE NUEVA ITALIA nuevo corondiro-PARACUARO-geo.dwg,Model,21/05/2009 01:26:21 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\OCURIO-ZITACUARO\OCURIO-ZITACUARO (2).DWG,Model,21/05/2009 03:54:59 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\OJO DE RANA-MARCOS CASTELLANOS\ojo de rana-san marcos-GEO.dwg,Model,21/05/2009 04:32:07 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\OPOPEO-SALVADOR ESCALANTE\07901702-OPOPEO-villaescalante.dwg,Model,21/05/2009 05:52:49 p.m.,x,GEO.pc3,Carta,1:172.042,
E:\imss\Clasificacion de clinicas\OROPEO-LA HUACANA\el algodon y oropeo-geo.dwg,Model,21/05/2009 06:26:39 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\PASO DEL MUERTO-SALVADOR ESCALANTE\PASO DEL MUERTO-PAZTCUARO-IMSS.dwg,Model,22/05/2009 09:47:53 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\PLAYA DE GUADALUPE-ARIO DE ROSALES\LA PLAYA DE GUADALUPE (LA PLAYA)-ARIO DE ROSALES-ejido-imss-GEO.dwg,Model,22/05/2009 10:31:13 a.m.,x,GEO.pc3,Carta,1:544.252,
F:\crucero zinapecuaro jorge carranza.dwg,Model,22/05/2009 10:41:35 a.m.,x,HP Designjet 500 42 by HP.pc3,ANSI B (portrait),1:28.6193,
E:\imss\Clasificacion de clinicas\POTURO-CHURUMUCO\POTURO-CHURUMUCO-FGEO.dwg,Model,22/05/2009 12:26:50 p.m.,x,GEO.pc3,Carta,1:1088.5,
E:\imss\Clasificacion de clinicas\PUCUATO-HIDALGO\PuCUATO - HIDALGO-GEO.dwg,Model,22/05/2009 12:48:05 p.m.,x,GEO.pc3,Carta,1:1088.5,
\\PENTIUM1\topograf\bodega panteon.dwg,Model,22/05/2009 01:07:15 p.m.,x,900x600.pc3,Pers. 1:  900  x  600 mm. (landscape),1:0.15,
E:\imss\Clasificacion de clinicas\PUEBLO VIEJO-LA HUACANA\pueblo viejo-ejido-LA HUACANA-imss-geo.dwg,Model,22/05/2009 05:28:31 p.m.,x,GEO.pc3,Carta,1:32.1409,
E:\imss\Clasificacion de clinicas\PUEBLO VIEJO-LA HUACANA\pueblo viejo-ejido-LA HUACANA-imss-geo.dwg,Model,22/05/2009 05:30:43 p.m.,x,GEO.pc3,Carta,1:32.1409,
E:\imss\Clasificacion de clinicas\RAZO DE ORGANO-BUENAVISTA\RAZO DEL ORGANO-GEO.dwg,Model,22/05/2009 05:50:11 p.m.,x,GEO.pc3,Carta,1:32.1409,
E:\imss\Clasificacion de clinicas\SAN ANTONIO DE LAS HUERTAS-NOCUPETARO\SAN ANTONIO DE LAS HUERTAS-Nocupétaro-geo.dwg,Model,23/05/2009 09:27:43 a.m.,x,GEO.pc3,Carta,1:51.4254,
E:\imss\Clasificacion de clinicas\SAN JOSE DE GUADALUPE-TLALPUJAHUA\SAN JOSE DE GUADALUPE.dwg,Model,23/05/2009 10:21:52 a.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\SAN MIGUEL CURINGUATO-MARAVATIO\san miguel curinguato-MARAVATIO-IMSS (2).dwg,Model,23/05/2009 12:34:23 p.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\SAN MIGUEL LA RATA-EPITACIO HUERTA\san miguel la rata-epitacio huerta-geo.dwg,Model,23/05/2009 01:56:40 p.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\SAN MIGUEL TECACHO-HUANIQUEO\Tecacho - HUANIQUEO-geo.dwg,Model,25/05/2009 10:03:02 a.m.,x,GEO.pc3,Carta,1:32.1409,
E:\imss\Clasificacion de clinicas\SAN MIGUEL TECACHO-HUANIQUEO\Tecacho - HUANIQUEO-geo.dwg,Model,25/05/2009 10:04:47 a.m.,x,GEO.pc3,Carta,1:32.1409,
E:\imss\Clasificacion de clinicas\SAN NICOLAS OBISPO-MORELIA\sn Nicolas obispo-morelia-GEO.dwg,Model,25/05/2009 11:23:54 a.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\SAN PEDRO BOCANEO-ZINAPECUARO\SAN PEDRO BOCANEO-ZINAPECUARO-IMSS-geo.dwg,Model,25/05/2009 12:49:37 p.m.,x,GEO.pc3,Carta,1:32.1409,
E:\imss\Clasificacion de clinicas\SAN PEDRO EL GRANDE-SAN LUCAS\SAN PEDRO - SAN LUCAS-geo.dwg,Model,25/05/2009 01:48:14 p.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\TUPATARO-SENGUIO\tupataro-sengio.dwg,Model,25/05/2009 02:54:32 p.m.,x,GEO.pc3,Carta,1:2.48277,
E:\imss\Clasificacion de clinicas\SANTA ANA ZIROSTO-URUAPAN\stana zirosto - uruapan-imss.dwg,Model,25/05/2009 03:54:50 p.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\SANTA CLAR-PURUANDIRO\santa clara-PURUANDIRO-IMSS.dwg,Model,25/05/2009 04:17:15 p.m.,x,GEO.pc3,Carta,1:25.7127,
E:\imss\Clasificacion de clinicas\TRES MEZQUITES-JOSE SIXTO VERDUSCO\Tres Mezquites - Jose Sixto V-geo..dwg,Model,25/05/2009 04:42:08 p.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\CHERAN BARRIO-CHERAN\cheran barrio paricutin-cheran.dwg,Model,29/05/2009 12:21:17 p.m.,x,GEO.pc3,Carta,1:53.5013,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,29/05/2009 12:53:11 p.m.,x,GEO.pc3,Carta,1:0.849162,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,29/05/2009 12:58:21 p.m.,x,GEO.pc3,Carta,1:0.849162,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,29/05/2009 12:58:27 p.m.,x,GEO.pc3,Carta,1:0.849162,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,29/05/2009 01:09:36 p.m.,x,GEO.pc3,Carta,1:0.849162,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,29/05/2009 01:10:59 p.m.,x,GEO.pc3,Carta,1:0.849162,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,29/05/2009 01:12:02 p.m.,x,GEO.pc3,Carta,1:0.307367,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,29/05/2009 01:15:46 p.m.,x,GEO.pc3,Carta,1:0.170818,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,29/05/2009 01:23:59 p.m.,x,GEO.pc3,Carta,1:0.170818,
E:\imss\Clasificacion de clinicas\JOSE MARIA MORELOS-ZINAPECUARO\jose maria morelos-zinapecuaro.dwg,Model,29/05/2009 01:31:31 p.m.,x,GEO.pc3,Carta,1:8.43592,
E:\imss\Clasificacion de clinicas\EL CUAJILOTE-SAN LUCAS\elcuajilote-SANLUCAS-IMSS.dwg,Model,29/05/2009 06:04:39 p.m.,x,hp deskjet 5550 series (HPA),Oficio,1:0.5,
